company_id,name,search_rating,review_count,overall_rating,복지/급여,워라밸,사내문화,승진 기회,경영진,기업 추천율,CEO 지지율,성장 가능성,검색기업명
280545,(주)코리아바이오믹스,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,코리아바이오믹스
174896,종합건축사사무소에이치앤티(주),3.0,1,3.0,3.0,3.0,1.0,1.0,2.0,100%,0%,0%,종합건축사사무소에이치앤티
435804,(주)인터웰푸드시스템,3.0,1,3.0,2.0,3.0,2.0,2.0,2.0,0%,0%,0%,인터웰푸드시스템
61303,우진이엔지,2.0,1,2.0,1.0,2.0,1.0,1.0,1.0,0%,0%,0%,우진이엔지
50063,(주)포유디지탈,2.8,60,2.8,2.4,2.9,2.6,2.9,2.4,43%,51%,43%,유디지
445216,하늘채마트,5.0,1,5.0,4.0,5.0,5.0,5.0,5.0,100%,100%,100%,하늘채
372662,신성켐텍(주),1.0,2,1.0,1.5,1.0,2.5,1.5,1.0,0%,0%,0%,신성켐텍
79602,디웰테크,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,디웰테크
20159,에이치앤피시스템(주),2.7,3,2.7,1.7,3.0,2.7,2.7,2.0,33%,50%,33%,더후
222612,삼영화성공업(주),3.4,7,3.4,2.3,4.0,3.1,3.0,2.9,71%,14%,0%,화성공업
164198,디엠아이씨(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,디엠아이씨
337104,(주)테네터스,2.1,67,2.1,2.1,2.7,2.2,2.1,1.9,22%,30%,27%,엠투에스
124888,대호산업(주),2.2,5,2.2,3.0,2.4,1.6,2.2,1.8,0%,20%,0%,대호산업
185841,청조해운항공(주),2.2,12,2.2,1.8,3.1,2.5,2.4,1.9,17%,17%,0%,청조해운항공
88795,청주시시설관리공단,2.6,27,2.6,2.2,3.3,2.7,2.1,2.3,26%,42%,7%,청주시시설관리공단
325842,(주)현대웰슨,2.9,13,2.9,3.0,3.7,2.5,2.1,2.2,46%,38%,15%,현대웰슨
189009,비앤비스틸(주),2.7,3,2.7,2.0,1.7,1.7,2.0,1.7,0%,0%,0%,비앤비스틸
165559,대주전기(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대주전기
114081,현대에이디엠바이오(주),2.5,156,2.5,2.6,2.3,2.3,2.7,2.1,29%,37%,14%,이디엠코리아
330053,기아스포츠문화센터광주점,2.0,1,2.0,1.0,3.0,2.0,3.0,1.0,0%,0%,0%,기아스포츠문화센터
223550,영우건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,영우건설
386760,한국원양산업협회,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,원양산업
375741,디에스이테크(주),2.1,15,2.1,1.9,3.5,2.3,1.8,1.7,13%,20%,7%,에스이테크
80853,(주)동성식품,3.0,7,3.0,2.7,4.0,3.1,2.4,3.1,29%,43%,57%,동성식품
44460,구포국수,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,구포국수
59333,(주)이노룰스,3.4,35,3.4,3.2,3.9,3.2,3.5,3.1,66%,75%,37%,이노룰스
117526,대건아이앤에프(주),3.5,2,3.5,3.5,4.0,3.0,3.5,3.5,50%,50%,0%,대건아이앤에프
351872,(주)에이티비앤컴퍼니,2.4,8,2.4,1.9,1.6,2.1,2.3,2.0,13%,38%,0%,티비앤
303795,트라이얼정보통신(주),3.0,3,3.0,3.0,3.0,2.0,2.7,2.3,33%,67%,0%,트라이얼정보통신
396962,한가득영농회(주),1.9,15,1.9,2.0,2.4,2.1,1.9,1.8,20%,33%,7%,시골
141595,리드팜(주),2.3,13,2.3,1.8,3.1,2.2,2.2,2.0,15%,15%,8%,리드팜
338156,(주)주안시스템,3.0,1,3.0,3.0,3.0,3.0,4.0,4.0,100%,100%,0%,주안시스템
319300,인디라인(주),3.5,13,3.5,3.0,3.0,3.7,3.6,2.8,31%,23%,15%,인디라인
344619,(주)유석철강 청주지점,1.0,10,1.0,1.4,2.0,1.3,1.4,1.0,0%,20%,0%,유석철강청주지점
149891,태건건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,태건건설
100195,해들우리농산(주),1.0,2,1.0,1.0,1.0,1.0,1.0,1.0,0%,0%,0%,우리농산
180537,프레쉬팜(주),4.0,1,4.0,3.0,3.0,4.0,4.0,4.0,0%,0%,0%,프레쉬팜
318458,(주)아람코코리아,2.8,12,2.8,2.5,3.4,2.8,2.8,2.6,17%,50%,8%,아람코코리아
281614,신영스텐(주),2.5,2,2.5,2.0,2.0,1.0,3.5,2.5,50%,50%,50%,신영스텐
363475,(주)젠스템,3.7,3,3.7,3.7,2.7,3.0,3.0,3.7,67%,67%,67%,젠스템
9981,지에스건설(주),3.2,830,3.2,3.2,3.1,3.2,2.7,2.4,46%,34%,15%,지에스건설
404232,오토텔릭바이오(주),3.0,2,3.0,3.0,5.0,2.5,4.0,3.0,0%,0%,0%,오토텔릭바이오
228073,하랑커뮤니케이션(주),2.0,1,2.0,2.0,1.0,1.0,3.0,3.0,0%,0%,0%,하랑커뮤니케이션
353672,한국한의약진흥원,2.8,106,2.8,2.2,3.8,2.7,2.0,2.3,42%,35%,9%,한국한의약진흥원
108106,대도철강(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,대도철강
295869,해성이엔지(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,해성이엔지
295612,(주)지씨,3.8,36,3.8,3.3,3.7,3.7,3.8,3.4,69%,89%,61%,씨에스씨
467423,(주)광양벤딩,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,광양벤딩
189261,피와이씨인터내셔널(주),2.0,2,2.0,2.0,4.0,2.0,2.0,2.0,0%,50%,0%,피와이씨인터내셔널
263245,에스티산업개발(주),1.0,2,1.0,1.0,1.0,1.0,1.0,3.0,0%,0%,0%,에스티산업개발
69946,신영하이테크(주),2.0,33,2.0,1.8,1.5,2.1,1.9,1.9,6%,23%,6%,신영하이테크
217765,그레이팅코리아(주),3.0,2,3.0,1.5,4.0,2.5,1.5,2.0,50%,50%,0%,그레이팅코리아
318436,(주)골드플레이트,2.8,66,2.8,2.4,3.1,3.3,2.5,2.4,32%,36%,14%,골드플레이트
286355,하나철강(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,하나철강
154335,리베로인터내셔날(주),2.0,1,2.0,3.0,2.0,3.0,3.0,2.0,0%,0%,0%,리베로인터내셔날
402780,(주)에프알에스아이,1.5,2,1.5,1.0,2.0,2.0,1.0,1.5,0%,50%,0%,에프알에스아이
397015,(주)바능,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,바능
202762,대양전자(주),1.5,4,1.5,1.3,1.3,1.0,1.5,1.3,0%,50%,0%,대양전자
318647,코리아비즈니스센타(주),3.0,2,3.0,2.0,2.5,3.0,2.0,3.0,50%,50%,0%,코리아비즈니스센타
221289,원창기업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,원창기업
46437,갓바위식품(주),1.0,1,1.0,2.0,2.0,3.0,1.0,3.0,0%,0%,0%,갓바위
53532,케이알테크,4.0,2,4.0,3.0,4.5,3.5,3.0,3.5,50%,50%,50%,케이알테크
362416,(주)이엔캐스트,4.3,7,4.3,4.1,4.0,4.0,4.4,4.4,86%,100%,43%,이엔캐스트
198430,우림레미콘산업(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,우림레미콘산업
429125,뷔오디엠,4.0,1,4.0,4.0,5.0,5.0,5.0,4.0,100%,100%,100%,오디엠
293028,송현인베스트먼트(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,송현인베스트먼트
391041,동아송강회계법인,2.5,6,2.5,2.3,2.2,2.5,2.5,2.5,33%,50%,17%,동아송강회계법인
83580,(주)넥스모어시스템즈,3.3,32,3.3,2.5,3.2,3.5,3.2,3.0,41%,71%,19%,모어시스템
319358,서울옥션블루(주),2.1,61,2.1,1.9,2.6,2.1,2.2,2.1,23%,41%,16%,서울옥션블루
146425,다원엔지니어링(주),1.1,10,1.1,1.2,1.1,1.3,1.2,1.1,0%,0%,0%,다원엔지니어링
48136,한영정공,2.0,1,2.0,2.0,4.0,3.0,3.0,3.0,0%,100%,0%,한영정공
72659,선프라텍,2.0,1,2.0,2.0,1.0,2.0,2.0,2.0,0%,0%,0%,선프라텍
8779,천우모터스(주),2.2,31,2.2,2.1,2.7,2.0,2.4,1.7,13%,27%,6%,천우
257243,진양에스엔지(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,진양에스엔지
62092,올베스,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,올베스
147080,우리플라(주),2.5,4,2.5,2.3,1.8,2.8,2.3,1.5,0%,25%,0%,우리플라
262129,삼인건설(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,삼인건설
223614,(주)동일씨앤이,2.1,4,1.5,2.5,1.0,1.0,2.3,1.3,0%,0%,0%,동일씨앤이
120292,영농조합법인은정원,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,영농조합법인은정원
417445,승원건설(주),3.0,1,3.0,2.0,3.0,3.0,3.0,3.0,0%,0%,0%,승원건설
222083,건아건설중기(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,건아건설
323992,아이비이엔지,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,아이비이엔지
143002,청성이엔씨(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,청성이엔씨
213290,피앤디솔루션(주),3.5,2,3.5,3.5,3.5,3.0,4.0,3.0,100%,100%,50%,피앤디솔루션
135189,오투엠(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,오투엠
363169,(주)지비엠에스,2.0,30,2.0,2.2,2.5,2.3,2.7,1.9,33%,30%,30%,지비엠
413202,(주)에스엔디테크,5.0,1,5.0,2.0,4.0,5.0,1.0,4.0,0%,0%,0%,에스엔디테크
87394,(주)크래커랩,3.0,104,3.0,2.2,2.6,3.5,3.2,2.7,42%,49%,20%,크래커랩
118731,피제이로직스(주),3.0,1,3.0,3.0,5.0,3.0,4.0,4.0,100%,100%,0%,제이로직스
241348,에코맘의산골이유식농업회사법인(주),1.5,2,1.5,3.0,2.5,1.5,2.5,1.0,0%,0%,0%,에코맘의산골이유식
135020,대륜건설산업(주),1.0,2,1.0,1.5,2.0,1.0,1.0,1.0,0%,0%,0%,대륜건설
409242,세무법인세양,1.0,2,1.0,1.0,2.5,2.5,2.0,1.0,0%,0%,0%,세무법인세양
161731,오현개발(주),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,오현개발
47422,(주)호명테크,2.9,8,2.9,2.1,1.9,2.8,2.6,2.3,13%,50%,0%,호명테크
258777,덕양소방(유),0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0%,0%,0%,덕양소방
220036,한성볼트(주),2.7,13,2.7,2.0,3.2,2.9,2.5,1.9,15%,38%,0%,한성볼트
373682,(주)더엘스타,1.9,7,1.9,1.7,3.6,2.1,1.9,1.4,14%,14%,0%,더엘스
335035,자연주의성형외과의원,1.8,43,1.8,1.8,2.5,1.6,1.7,1.7,5%,19%,2%,연주
323134,(주)네이처글루텍,2.6,54,2.6,2.6,4.0,2.4,2.5,2.1,24%,35%,19%,네이처글루텍
328116,(주)에이모,3.1,153,3.1,2.9,3.6,3.0,2.8,2.5,47%,54%,27%,블루웨일
338445,(주)엔씨지글로벌,2.2,30,2.2,2.0,3.1,2.2,2.0,1.9,23%,40%,13%,엔씨지글로벌
